nomis_agency_id,postcode
NTS3,NG24 1JZ
TVP4,RG14 5QU
NRU7,NE5 4AW
NBR038,NE4 8RP
HNT2,PO30 1SZ
GWN1,NP20 2EH
DC5,TR7 1DD
DP3,SY16 1EN
KNT6,DA11 8BD
GMP6,M40 5BQ
NTT1,NN4 0JQ
NTH4,NN1 3EL
STF4,ST1 5NJ
NFL6,NR2 1NN
NHS013,NG1 4BH
WWM6,CV11 4DW
WMP3,B70 7JD
AVS2,BS34 6PY
MPS26,SE15 5SL
GMP7,BB7 1PZ
WMP4,B42 2TU
CAM5,PE3 6SD
DHM5,SR8 5HA
NBR033,NE99 1TB
LDM081,E13 8HJ
MPS10,SE18 1JY
DC3,PL4 8HG
DST2,BH15 2SE
HNT3,PO1 2DG
NWA10,LL19 7TD
LAN6,PR1 2RJ
HMB3,HU5 5SF
WYP9,LS28 5TA
NWA11,LL18 2TP
LDM149,TW9 2RF
MPS11,RM1 3BJ
CHE3,WA7 1TD
IOW1,PO33 2QH
NYK2,YO12 7AD
HBS017,DN15 6QB
SYP3,S9 1TP
WWM3,SY2 5RW
LNC4,PE25 1BJ
LAN2,WN8 6NH
CLP3,B4 6NQ
WMP23,B37 5UB
MLW047,B91 3QL
NRU4,NE33 1RR
HNT4,SO15 1AN
ESX7,SS2 6ES
NRU2,SR5 2DU
DHM6,DL16 6FB
MRS2,L3 3HJ
NWA4,LL17 0HQ
DRB3,DE1 2AB
STF039,ST16 2DQ
WYP6,LS7 3QH
STCUSU,TW18 4LQ
WMP8,B33 8PR
HRT1,SG1 1HF
MPS12,N16 8DS
GCS5,GL5 1QQ
STF053,B74 2NR
MPS32,SM1 4RF
SWAD01,DE11 0AE
SWL17,SA1 5EA
WLT4,SN3 4RT
GMP8,M27 0NF
STF041,B79 7BB
D20HW,B21 9BT
KNT7,TN9 2HS
DC6,TQ2 5AH
MPS27,SE17 3RL
MPS13,SW18 4JJ
HNT6,PO7 7FX
STF2,ST19 5PR
MRS4,L7 1RJ
MLW039,WV11 1XU
NTH5,NN8 1HF
BTP5,HA9 9AA
MPS14,HA0 2HH
MLW051,B70 7PJ
BTP2,E15 3AT
DST3,DT4 9GD
GMP9,WN3 4ER
WILMCR,SK9 5HQ
